country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
Italy,"Aromas include tropical fruit, broom, brimstone...",Vulkà Bianco,99,101.99,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Nicosia 2013 Vulkà Bianco (Etna),White Blend,Nicosia
Italy,"Aromas include tropical fruit, broom, brimstone...",Vulkà Bianco,99,200.00,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Nicosia 2013 Vulkà Bianco (Etna),White Blend,Nicosia
Portugal,"This is ripe and fruity, a wine that is smooth...",Avidagos,87,15.0,Douro,,,Roger Voss,@vossroger,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,Quinta dos Avidagos
France,"A dry style of Pinot Gris, this is crisp with ...",,90,32.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Marcel Deiss 2012 Pinot Gris (Alsace),Pinot Gris,Domaine Marcel Deiss
France,"Big, rich and off-dry, this is powered by inte...",Lieu-dit Harth Cuvée Caroline,90,21.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Schoffit 2012 Lieu-dit Harth Cuvée Car...,Gewürztraminer,Domaine Schoffit
USA,"Bright, vibrant, with notes of cherry and spice...",Zinfandel,94,28.0,California,Napa Valley,,Eric Asimov,@ericasimov,2016 Ridge Vineyards Zinfandel,Red Zinfandel,Ridge Vineyards
Spain,"Rich flavors of plum and tobacco, with a touch...",Tempranillo,88,12.0,La Rioja,Alavesa,,Luis Gutiérrez,@luisgutierrezc,2015 Bodegas Muga Rioja Tempranillo,Tempranillo,Bodegas Muga
,"Big, bold flavors with dark berries and oak...",Shiraz,92,25.0,South Australia,Barossa Valley,,Jane Lopes,@janeslopes,2017 Penfolds Bin 28 Shiraz,Shiraz,Penfolds
Italy,"Notes of fresh herbs and dark berries, balanced...",Chianti Classico,85,18.0,Tuscany,,Danielle Demetriou,@dandemetrio,2018 Barossa Shiraz,Chianti,Santa Cristina
Argentina,"A balanced and fruity wine with notes of cherry...",Malbec,89,17.0,Mendoza,,Patricia Gastaud,@patgastaud,2016 Catena Malbec,Malbec,Catena
Chile,"Full-bodied with blackberries and earthy undertones",Cabernet Sauvignon,91,19.0,Central Valley,,Tim Atkin,@timatkin,2017 Santa Rita Cabernet Sauvignon,Cabernet Sauvignon,Santa Rita
,"Spicy and rich with dark fruit, earthy flavors",Pinotage,93,22.0,Western Cape,,Neal Martin,@neal_martin,2018 Kanonkop Pinotage,Pinotage,Kanonkop
Italy,"Citrusy with a refreshing minerality",Pinot Grigio,86,16.0,Veneto,,Luca Maroni,@lucamaroni,2019 Santa Margherita Pinot Grigio,Pinot Grigio,Santa Margherita
Germany,"Crisp with flavors of apple, lime, and a touch...",Riesling,95,30.0,Nahe,,Stephan Reinhardt,@stephanreinhardt,2017 Dr. Loosen Riesling,Riesling,Dr. Loosen
USA,"Smooth and rich with flavors of vanilla and oak",Chardonnay,90,35.0,California,Sonoma County,,Robert Parker,@robertparker,2017 Kendall-Jackson Chardonnay,Chardonnay,Kendall-Jackson
France,"Soft and floral with notes of peach and citrus",Sauvignon Blanc,88,17.0,Loire Valley,,Alice Feiring,@alicefeiring,2019 Domaine Vacheron Sauvignon Blanc,Sauvignon Blanc,Domaine Vacheron
Spain,"Aged with hints of oak and rich fruit, earthy tones",Tempranillo,87,14.0,Rioja,,Jancis Robinson,@jancisrobinson,2017 Bodegas Muga Reserva,Tempranillo,Bodegas Muga
Argentina,"Smooth with notes of plum and vanilla",Cabernet Sauvignon,92,20.0,Mendoza,,James Suckling,@jamessuckling,2016 Norton Cabernet Sauvignon,Cabernet Sauvignon,Norton
Italy,"Tropical fruit and lemon zest with a light body",Vermentino,84,12.0,Sardinia,,Monica Larner,@monicalarner,2019 Santa Maria Vermentino,Vermentino,Santa Maria
,"Spicy, peppery, with dark fruits and oak",Shiraz,88,16.0,Western Cape,,Wine Spectator,@winespectator,2017 Spice Route Shiraz,Shiraz,Spice Route
,"Citrusy with a medium body and light acidity",Sauvignon Blanc,85,14.0,Victoria,,Mark Squires,@marksquires,2018 Mount Mary Sauvignon Blanc,Sauvignon Blanc,Mount Mary
Portugal,"Intense flavors of black fruits and tobacco",Baga,90,18.0,Bairrada,,Roger Voss,@vossroger,2016 Casa de Santa Vitoria Baga,Baga,Casa de Santa Vitoria
France,"A blend of berries with earthy undertones",Gamay,84,13.0,Beaujolais,,Jancis Robinson,@jancisrobinson,2018 Georges Duboeuf Beaujolais Nouveau,Gamay,Georges Duboeuf
Germany,"Delicate and floral with notes of apple blossom",Pinot Blanc,91,22.0,Pfalz,,Stephan Reinhardt,@stephanreinhardt,2017 Dr. Loosen Pinot Blanc,Pinot Blanc,Dr. Loosen
